ss,en,src_text,trg_text,Cosine_Score
"[ 1.0897601  -0.12152154  0.23843391 ...  0.7128301   1.404725
  2.094331  ]","[ 0.01481696 -0.00282934  0.0224051  ...  0.01568592  0.0160005
  0.09249424]",Kufezekiswa Kwetinhlelo Tahulumende Letibalulekile Imibiko yemiphumela yekota yenchubekelembili leyetfulwe kuKhabhinethi yesikhatsi kusukela mhla lu-01 Kholwane kuya kumhla tinge-30 Inyoni 2016.,Implementation of Government Programmes The quarterly outcomes progress reports were presented to Cabinet for the period 1 July to 30 September 2016.,0.8307031
"[ 0.33355263  0.06695059 -0.14352661 ...  1.0034009   0.07610645
  0.89743453]","[1.68068763e-02 2.69730317e-05 1.50207775e-02 ... 3.88495699e-02
 2.05382053e-02 4.73627634e-02]",Lemibiko ilandzelela kufezekiswa kweLuhlelo Lwahulumende Lwekusebenta loluhambisana netindlelakwenta teLuhlakamsebenti Lwendlelalisu Yethemu Lesemkhatsini neLuhlelo Lwekutfutfukisa Lwavelonkhe,"This indicates successful implementation of the programme by all spheres of government, municipalities and civil societ EPWP Phase 3 is in its third year of implementation",0.7076823
"[ 0.09027554 -0.03052645 -0.18500283 ...  0.23413213  0.29811186
 -0.12219513]","[-1.0086938e-03  3.5217393e-04 -3.5110370e-05 ...  2.0208007e-03
  2.2693814e-03  2.6775470e-03]",_(i-NDP).,make it work,0.37641928
"[ 0.43327042  0.9366718  -0.21883398 ...  1.6428059   0.23045444
  1.0100603 ]","[ 0.02225753 -0.00054786  0.00756463 ...  0.01912906  0.02466121
  0.04957429]","Macembu etindvuna Lahlukene, ngekusebentisa Luphiko Lwahulumende Lwetekuchumana Netekwatisa (i-GCIS), atakwenta emalungiselelo emihlangano nemacembu ebetindzaba ngenhloso yekwetfula imibiko ngemisebenti lebeyimphumelelo yematiko",The analogue switch off forms part of the country s Broadcasting Digital Migration process in the countr Poor households who qualify for the government subsidy are urged to register for free STBs at their local Post Office branche.,0.7238834
[0.35095876 0.03978058 0.13053541 ... 1.0302253  0.8270827  0.34985864],[0.01153557 0.03439406 0.00617835 ... 0.01790893 0.02443079 0.014394  ],"ngalesikhatsi, ngasekupheleni kwalenyangLetihlabahlosile letitsite letiseMibikweni Yemiphumela Yekota Yenchubekelembili kulesikhatsi lesibuketwako:Umnotfo Litiko Lekutfutfukisa Emabhizinisi Lamancane lisekele emabhizinisi la-149 kulekota lebuketwak Kwengeta, kwesekelwe tinhlangano telubambiswano leti-104 ngekusebentisa Sikimu Setibonelelo Tetinhlangano Telubambiswan Letinyatselo tekungenelela tivulela ematfuba emabhizinisi lamancane, lasemkhatsini nendzawo kanye nalamancane kakhulu (ema-SMME), tinhlangano telubambiswano, emabhizinisi asemalokishini kanye newasetindzaweni letisemaphandlen Kumkhakha wetekulima","These reports monitor the implementation of Government s Programme of Action in line with the provisions of the Medium Term Strategic Framework and the National Development Pla Respective Cluster Ministers, through the GCIS, will coordinate cluster media briefings to present departmental milestones reached in the period, later this montSome highlights from the Quarterly Outcomes Progress Reports in the period under review:Economy The Department of Small Business Development supported 149 enterprises in the quarter under revie In addition, 104 cooperatives were supported through the Co-operative Incentive Schem These interventions are unlocking the potential of SMMEs, cooperatives, township and rural enterprise In the agricultural sector - 172 new agricultural enterprises and 23 non-agricultural enterprises were supported through various initiative An additional 337 existing SMMEs were identified and will be supported with training and market acces 240 cooperatives were supported through the Cooperative Incentive Schem The work of the Inter-Ministerial Committee on Investment is starting to bear frui During the quarter under review, Invest SA facilitated an investment pipeline amounting to R1billion mostly in large scale gas to power projectThe fight against crime and corruptionFighting crime and corruption remains a top priority of governmen We are resolute to rid our communities of criminals and we will continue to work towards a safer South Africa where all citizens are and feel saf Partnerships between communities and government are needed to fight against crime and corruptio 9 police stations were reported to have functional Community Police Forums which contribute to a safe and secure environment for its citizen Progress is being continually made in the fight against corruptio Fifty-eight (58) persons were convicted in relation to reducing corruption amongst government officials in the reporting perio Five (5) persons were convicted for corruption or offences relating to corruption where the amount involved per case(s) is more than R5 million and value of freezing orders obtained are R185 millioLandThe wheels of restitution are moving to restore the dignity of those who suffered during aparthei Substantial progress was made to restore the dignity of those who suffered during aparthei 54 400 hectares (ha) of strategically located land was acquired and allocated and 51 188 ha were allocated to smallholder producer 6 530 ha of the acquired land was allocated to farm dwellers and labour tenant Of the 112 land claims that were settled 57 were in the rural areas benefiting 2 553 people in 467 household.",0.78316355
"[ 0.41171655  0.05339377 -0.00782027 ...  0.83322436  0.75625175
  0.722494  ]",[0.02332343 0.0002277  0.06748293 ... 0.01594313 0.02482108 0.01617374],"emabhizinisi lamasha etekulima la-172 kanye nemabhizinisi lange-23 langasiwo etekulima asekelwe ngekusebentisa tinhlelo letehlukahluken Kubonakale lamanye langetiwe ema-SMME labevele akhona lange-337 atawusekelwa ngekuceceshwa kanye nekutsi akhone kufinyelela etimaketh Tinhlangano telubambiswano letinge-240 tisekelwe ngekusebentisa Sikimu Setibonelelo Tetinhlangano Telubambiswan Umsebenti Welikomidi Lelihlanganisa Tindvuna Letekutjalatimali sewucala kutsela titsel Ngesikhatsi salekota lebuketwako, baka-Invest SA bente kutsi kube nelutjalotimali ngesamba lesitigidzigidzi le-R1ikakhulu kugesi lecondziswe emiklameni yemandlKulwa nebugebengu nenkhohlakaloKulwa nebugebengu nenkhohlakalo yintfo lehamba embili eluhlwini lwetintfo hulumende latawucala ngato kutent Sitimisele kulwa netigebengu sitikhiphe emimangweni yetfu futsi sitawuchubeka sisebentele kwenta iNingizimu Afrika kutsi ibe live leliphephile lapho tonkhe takhamuti titivela tiphephile khon Kusebenta ngekubambisana emkhatsini wemimango nahulumende yintfo ledzingekako kute kuliwe nebugebengu nenkhohlakal Titeshi temaphoyisa letinge-9 tibikwe kutsi tineTinkhundla Temaphoyisa Emmango letisebentako letidlala indzima ekucinisekiseni kutsi takhamuti","The Revitalisation of Industrial Parks Programme, under the Minister of Trade and Industry, Rob Davies is creating jobs in and around townships and rural communitie The programme was implemented in response to a call by President Jacob Zuma to work towards full scale industrialisation and inclusive growth amongst other The Department of Trade and Industry has so far invested R2 in the revitalisation of the Komani Industrial Par During the 1st phase of the revitalisation programme, seven small micro medium enterprises were appointed as sub-contractors to the value of R5, 3millio Seventy-one local labourers were employed, of which 63 per cent were youtThe Black Industrialist programme, with an objective to increase role-players in the manufacturing sector, has to date supported 22 Black Industrialists and 1500 jobs have been create Rbillion has been injected to support these industrialist.",0.84124565
[0.7190848  0.6324533  0.60608476 ... 0.9828558  0.8214893  0.7804337 ],"[ 0.02486409 -0.00046079  0.00324715 ...  0.01218043  0.04731099
  0.03776207]","tivikelekile futsi tiphephil Inchubekelembili yentiwa ngalokuchubekako mayelana nekulwa nenkhohlakal Bantfu labange-58 bagwetjelwe inkhohlakalo ngenhloso yekunciphisa inkhohlakalo kutisebenti tahulumende ngesikhatsi sekukhishwa kwalombik Bantfu labasihlanu (5) bagwetjelwe inkhohlakalo kanye nemacala laphatselene nenkhohlakalo licala ngalinye lelilinganiselwa kusamba lesingetulu kwetigidzi le-R5 letebiwe kwaphindze kwatfolwa umyalo wenkantolo wekuvala ema-akhawunti esamba lesitigidzi le-R185.UmhlabaImitamo yekubuyisela umhlaba iyachubeka kute kubuyiselwe sitfunti salabo labahlukumeteka ngesikhatsi selubandlulul Inchubekelembili lebonakalako seyentiwe kute kubuyiselwe sitfunti salabo labahlukumeteka ngesikhatsi selubandlulul Emahektha lange-54 400 emhlaba utsengiwe wase uyabiwa kantsi emahektha lange-51 188 wona abelwe banikati bemapulazi lamancane labalimela kutiphilis Kwase kutsi emahektha lange-6 530 wona abelwa bantfu labahlala emapulazini kanye nebasebenti labacashe indzawo yekuhlala emapulazin Kuticelonkhokhelo temhlaba leti-112 letakhokhelwa, letinge-57 betisetindzaweni letisemaphandleni kwazuza bantfu laba-2 553 emakhaya lange-4610.","Water and sanitation are at the very core of sustainable developmen The Department of Water and Sanitation is embarking on a Sanitation Campaign which will culminate with World Toilet Day on 19 November 2016, which is used to create awareness, to educate and apply efforts to ensure that everyone has access to decent sanitation serviceSouth Africa has committed itself to accelerate the provision of water and sanitation services, and as such restore the dignity particularly of those people from previously disadvantaged communitie The Bucket Eradication Programme is aimed at addressing the legacy of bucket toilets as a form of sanitation system in four provinces, namely the Eastern Cape, Free State, North West and the Northern Cap A total of 25 264 buckets have been eradicated to date and a total of 26 985 buckets remain to be completed from a baseline of 52 2418.",0.82803655
[0.6260589  0.18753587 0.32564205 ... 0.95869315 0.5271687  2.129504  ],"[ 3.3338226e-02 -7.5089876e-05  1.9243643e-02 ...  2.2654744e-02
  3.4325827e-02  5.4337636e-02]","Kungasikudzala, Khomishina Lomkhulu Weticelonkhokhelo Temhlaba uvume Sigaba se-2 Sekufaka sicelo sekukhokhelwa kwesicelonkhokhelo semhlaba Wemmango wakaMasinenge kanye Nemndeni wakaMtshali ngekukhokhelwa imali yesincephetelSamba sesisonkhe sekukhokhelwa bakaMasinenge sitigidzi le-R7, 100,60 kute kuzuze emakhaya lange-64 lacinisekiswa kutsi atsatselwa umhlaba wawIkhomishini Yekubuyiselwa Kwemalungelo Emhlaba, ngesikhatsi lesisukela mhla lu-01 Mabasa 2016 kuya kumhla tinge-31 Imphala samba lesicishe sifinyelele kusigidzigidzi semarandi ngekuncephetelisa labo labatsatselwa emalungelo abo emhlab.","Recently, the Chief Land Claims Commissioner approving the Phase 2 Submission for the settlement of the Masinenge Community land claim and the Mtshali Family claim through the payment of financial compensatioThe total value of the Masinenge settlement is R7, 100,60 for the benefit of 64 households who were verified as victims of land dispossessio The Commission on Restitution of Land Rights has, during the period 1 April 2016 to 31 October 2016 paid-out close to a billion rand in compensation to land claimants who were dispossessed of their rights in lan.",0.86697894
"[ 0.9102246  -0.1798389  -0.07128455 ...  0.25957647  0.9279301
  0.75927263]","[ 0.01176629 -0.00421954  0.00293609 ...  0.01476712  0.01087989
 -0.00413377]","Imiphumela yembiko weSikhungo Setebudlelwane Betinhlanga: ""Imphilo eNingizimu Afrika: Tizatfu Tekuba Nelitsemba",Life in South Africa: Reasons for Hope,0.7861222
[0.41717348 0.25913736 3.6898007  ... 0.883314   0.6243402  1.7411015 ],[0.01120489 0.02673991 0.0700185  ... 0.04254935 0.01782564 0.04421785],"ikhombisa kutsi imphilo eNingizimu Afrika seyincono lamuhla nayicatsaniswa neminyaka lenge-20 leyengcNga-2015 Samba Semkhicito Welive (i-GDP) besinge-33% ngetulu kwaleso sanga-1994, kwase imali lesalako emholweni","shows that life in South Africa is better today compared to 20 years agIn 2015 real per capita GDP was 33 per cent higher than in 1994; disposable income growth per capita increased from R23,686 in 1994 to R33,660 in 2015 (an increase of 42 per cent), the total number of people with jobs doubled from million in 1994 to 1million in 2015; access to formal housing increased by 13per cent from 1996 to 2016; university enrolment rates increased by 28per cent from 211,756 in 1985 to 807,663 in 2014; the number of new HIV infections dropped from 646,806 in 1999 to 321,497 in 2015; there has been a 6per cent increase in healthcare professionals in the public sector between 2000 to 2015; and the murder rate has fallen by 4per cent since 1994.These highlight that while there are challenges, life for South Africans has improved over the past two decade Cabinet encourages all sectors of society to continue to build on the advances of our nation since the dawn of democrac There remain more positives for the country than there are negativeImplementation of Governments Programme of Action:.",0.7868643
