nso,en,src_text,trg_text,Cosine_Score
"[ 0.6816379   0.20130678 -0.22425376 ...  0.34875965  1.1151224
  0.92408514]","[ 0.02463041 -0.00060517  0.00206388 ...  0.03766586  0.01392239
  0.03794194]",Ditlhaselo t a bjale t a bafaladi Kabinete e amogela khut o ye e thomilego go bonala ka dit habeng t eo di bego di amilwe ke ditlhaselo t a bjale t a bafalad Kabinete e lebogile dikgoro t eo di,Recent attacks on foreign nationals Cabinet welcomes the peace and calm that has begun to prevail in communities that were affected by the recent attacks on foreign national,0.77089787
"[ 1.0149586  -0.02141861  0.06649735 ...  1.0992463   1.1704656
  0.9670212 ]",[0.02746283 0.00589935 0.00408753 ... 0.02046584 0.01612397 0.02542124],"omi it ego Senthara ya Boset haba ya Tshepedi o ya Mohlakanelwa go emi a dikgaruru t eo di diregilego go la KwaZulu-Natal le Gauten Kabinete e lebogile baetapele ba profense le mebasepala ya mafelo ao a amilwego ka lebaka la karolo ya bona ya go aba thu o ya kimollo le go eta pele tshepet o ya go bu et a bafaladi dit haben Mo bekeng ya go feta, Mopresidente Jacob Zuma o bidit e dikopano t a bakgathatema le baemedi ba kgwebo, sehlopha sa sedumedi, mekgatlo ya ba omi, ya baemedi ba set haba le ya bafalad Dikopano e bile t a go agi a go thu a go t wet apele tshepet","Cabinet commended the departments that worked through the National Joint Operation Centre to stop the acts of violence that took place in KwaZulu-Natal and Gauten Cabinet commended the provincial and municipal leaders in affected areas for their role in providing relief and leading the process of reintegration of foreign nationals into communitie In the past week, President Jacob Zuma convened stakeholder meetings with the representatives of business, religious group, labour, civil society and foreign national The engagements were constructive to assist in taking the process forwar All participants were unanimous in expressing their condemnation of these attacks and committed to work with government in finding a lasting solutio The recently appointed Inter-Ministerial Committee (IMC) on Migration is working to find a lasting solution to issues raised by communities and foreign nationals Key Cabinet decisions Cabinet was briefed on the progress made on the Immovable Asset Register of the National Governmen A Real Estate Registry Services Division has been established with effect from 1 April 2015.",0.859464
"[ 0.6870893   0.14515105 -0.10203636 ...  0.4480469   1.1020541
  1.2481028 ]",[0.01699628 0.01945223 0.00188401 ... 0.01708194 0.04304859 0.0312576 ],Bakgathatema ka moka ba kwane go kgala ditlhaselo t e le go itlama go,"The protocol will assist countries to take global action against the illicit trade in tobacco products especially on countries that are signatories to the Protocol Cabinet s position on current issues Cabinet expressed its condolences to the families of those who died in recent public transport accidents which included a collision of two busses in Johannesburg last week and a collision of trains this week at Denver Station south of Johannesbur Cabinet is confident the investigation by the relevant departments will establish the causes of these accidents and ensure such accident do not happe Cabinet joins President Zuma in conveying its condolences to the family, friends and entire football fraternity on the passing of former Bafana Bafana football legend John",0.6092279
"[ 0.8705307  -0.07646614 -0.1492341  ...  0.7820321   0.63571066
  1.225228  ]",[0.02609657 0.00225597 0.01490923 ... 0.02727753 0.04724189 0.03759103],omi ana le mmu o go hwet a tharollo ya sa rur Komiti ya Mohlakanelwa ya Ditona (IMC) ka ga Khudugo ye e sa t wago go thwalwa e,"He was the recipient of the Order of the Companions of OR Tambo in Gold, the highest honor that South Africa bestows on foreign nationals Upcoming events President Zuma will attend the 70th Anniversary of the Victory of the Great Patriotic War (World War II) at Red Square in Moscow on 9 May 2015.",0.6793363
"[ 0.7804622   0.05457041 -0.26887998 ...  1.0432914   1.4162209
  1.0521547 ]",[0.0212342  0.02516952 0.00892088 ... 0.04689327 0.01323364 0.02836243],ogana le go hwet a tharollo ya ditabana t e di t weledit wego ke dit haba le bafaladi Diphetho t e Bohlokwa t a Kabinete Kabinete e tsebi it we ka ga kgatelopele ye e dirilwego go Ret istara ya Thoto ya Mmu o wa Boset haba ye e sa,rights which resulted in workers benefitting from the generation of progressive labour and social protection benefit National departments will present their budget votes to Parliament between 5th and 21st May 2015 to highlight their priority activities for the current financial yeaCabinet calls on South Africans to follow the budget votes on various media platforms to better understand when Ministers outline plans for Governments Programme of Action (PoA).,0.7333664
"[ 0.8219764  -0.10338311  0.23393331 ...  1.0094142   0.5591951
  2.5520265 ]","[ 0.01231507 -0.00190977 -0.00027287 ...  0.00247298  0.02544523
  0.043104  ]",uti weg Karolo ya Ditirelo t a Ret istri ya Dithoto e hlomilwe go thoma ka la 01 Moranang 2015.,"Moshoeu who was buried on Monday, 27 April 2015.",0.65420336
"[ 0.5915888  -0.13860597  0.526683   ...  1.009176    1.3323854
  1.0015509 ]",[0.01916274 0.00759047 0.00588721 ... 0.03219334 0.05522289 0.05469722],Karolo e tla laolwa ka gare ga Setheo sa Kgwebo ya Taolo ya Dithoto gomme e tla hlokomela dithoto t a Mmu o t e di sa,Cabinet approved the tabling of the Protocol to Eliminate Illicit Trade on Tobacco Product This is in accordance with the World Health Organization Framework Convention on Tobacco Control which South Africa ratified in April 2005.,0.6558831
"[-0.0304742  -0.32972884 -0.1992749  ... -0.09058471 -0.10610482
  0.4857485 ]","[ 1.2324500e-02  1.6290127e-04  3.0865858e-06 ... -1.4998242e-03
  8.6347265e-03  4.7960467e-04]",uti weg E tla,Shoes,0.44300765
"[ 0.5594237  -0.00868957 -0.20004703 ...  0.59393424  1.4361207
  1.3172054 ]","[ 0.01154947 -0.00038746 -0.00034506 ...  0.01499478  0.01596894
  0.03276802]","oma bjalo ka repositori e le no i ya Mmu o, gape e tla aba lekala la tlhokomelo, taolo le tekolo la Ret istara ya Thoto ya Mmu o ye e sa","The division will be managed within the Property Management Trading Entity and will oversee State immovable asset It will serve as a single repository of State immovable assets, and will provide an oversight, regulatory and monitory structure the State Immovable Asset Registe Cabinet approved the release of the Draft Policy on the Customary Practice of Initiation for public commen The policy seeks to protect, promote and regulate initiation by proposing acceptable norms and standards and also provide for structures at national and provincial leve It will ensure the initiations take place in a controlled environmenThis forms part of the steps that government is taking to reinforce appropriate, acceptable customs practices and restore an acceptable level of accountability that sustained the practice over many year Cabinet approved the intergovernmental Human Settlement Programme for the Nelson Mandela Bay Municipality which will use the Housing Development Agency as the implementing agen Cabinet approved the hosting of the International Federation of Library Associations and Institutions",0.7159673
"[ 0.83704627  0.4706336  -0.19419189 ...  1.0579087   0.9258376
  1.0102013 ]","[ 0.01231215 -0.00015589  0.00025062 ...  0.04015198  0.03782276
  0.04103085]",uti weg Kabinete e amoget e tokollo ya Sengwalwa sa Pholisi ka ga Tshepedi o ya Set o ya Koma gore set haba se dire ditshwayotshway Pholisi e nyaka go,"He will always be remembered as a supremely talented footballer who played a central role in our triumph at the 1996 Africa Cup of Nation Cabinet joins President Zuma in conveying condolences to the Government and people of the Federal Democratic Republic of Nepal, following a massive earthquake on Saturday, 25 April 2015, that claimed thousands of live Cabinet commends the South African non-governmental organizations who have already dispatched humanitarian aid to Nepa Cabinet expressed its deepest condolences to the family of Brigadier General Bita who died at the age of 75 in Tanzani Brig-Gen Bita served as the Executive Secretary of the Liberation Committee of the then Organization of African Unity (OAU).",0.72697246
"[ 1.482097    0.04013979 -0.21580002 ...  0.45438072  0.8982898
  0.5611936 ]","[ 0.00840002 -0.00171084  0.01828231 ...  0.03192339  0.00325444
  0.01227017]","irelet a, go godi a le go laola koma ka go","Annual World Library Information Congress in Cape Town from 15 to 21 August 2015 under the theme ""Dynamic Libraries: Access, Development and Transformation"".",0.6166183
"[ 0.7785439   0.07561426 -0.09843546 ...  0.9720054   1.0068288
  2.145966  ]",[0.02125588 0.01179502 0.00206746 ... 0.0332817  0.031621   0.02308876],i inya melao le maitshwaro ao a amogelegago gape le go hloma mekgatlho maemong a boset haba le a profens E tla kgonthi i a gore dikoma di dirwa ka tikologong ye e lego ka fase ga taolSe se bopa karolo ya dikgato t eo mmu o o di t eago go matlafat a ditshepedi o t a set o t e di amogelegago t a maleba le go boloka maemo a a amogelegago a boikarabelo bjoo bo t wedit ego pele set o mo mengwageng ye ment,"The Department of Tourism and South African Tourism will hold INDABA 2015 from 9 to 11 May 2015 at the Inkosi Albert Luthuli International Convention Centre in DurbaThis Pan-African event is a critical platform to promote our tourism products to the international marke It also supports the strategic vision of the National Tourism Sector Strategy to grow international arrivals to 15 million by 2020 and therefore create 225 000 new job Cabinet welcomes the 5th Gender Summit Africa, the first to be held on the African continen The summit took taking at the Cape Town International Convention Centr The summit is a platform for groups and organizations across all levels of scientific research to address gender issues of mutual concer",0.72645617
