ts,en,src_text,trg_text,Cosine_Score
[0.4880911  0.16422778 0.335781   ... 0.71326566 1.0498348  0.9769878 ],[0.01620116 0.01371453 0.00551025 ... 0.0234741  0.02789161 0.04259048],"Ku humelerisiwa ka tiphurogiremenkulu ta mfumo Khabinete yi amukela ku humelela loku tshikeleriweke hi Phuresidente Jacob Zuma hi nkarhi wa rendzodyondzo ra yena eka xitichi xa swikepe xa le Port Elizabeth eKapa Vuhumadyambu, ku ya hlela magoza lama tekiweke ya vuhumelerisi bya pfhumba ra Operation Phakisa: Ikhonomi ya le Malwandl Mfumo wu pfurile vuvekisi lebyi nga na nxavo wa 17 wa mabiliyoni ya tirhandi eka ikhonomi ya le malwandl Hi pfhuka pfhumba leri ri simekiwile, ku tlula 4 500 wa mintirho yi tumbuluxiwile eka swiyenge swo hambanahamban Swimbirhi ka leswa nkaye swa swikwekwetsu leswi tirhaka ku koka swikepe ematini leswi akiwaka hi Vaaki va Swikepe va le Dzongeni wa Afrika va Nhlangano wa Switichi swa Swikepe swa Rixaka wa Transnet (TNPA) eSwitichini swa Swikepe swa Durban swi kongomile eXitichini xa Switepe xa Port Elizabet Phuresidente Zuma u simekile xikwekwetsu lexo sungula ePort Elizabeth, lexi thyiweke Mvezo, ku nga vito ra ndhawu leyi khale ka Phuresidente Nelson Mandela a tswariweke konTNPA leyi yi humesile nkombo wa mabiliyoni ya tirhandi yo antswisa switichi swa swikepe swa hin Phuresidente u hlalerile xiporo xa swikwekwetsu na switepisi swo nghena ni ku huma eswikepeni leswa ha ku pfuxetiwaka eXitichini xa Swikepe xa Port Elizabeth lexi nga ta kota ku rhurhela swikepe swin wana leswikulu loko ku fananisiwa na swimbirhi leswi xi kotaka ku swi rhurhela swesw","Implementation of key government programmes Cabinet welcomes the achievements highlighted by President Jacob Zuma during his site visit to the Port of Port Elizabeth in the Eastern Cape, to assess progress made on the implementation of the Operation Phakisa: Oceans Economy initiativ Government has unlocked investments amounting to about R17 billion in the Oceans Econom Since its inception, over 4 500 jobs have been created in various sectorTwo of the nine tugboats being built by the Southern African Shipyards for Transnet National Ports Authority (TNPA) in the Port of Durban are destined for the Port of Port Elizabet President Zuma launched the first tugboat in Port Elizabeth, named the Mvezo, after the birthplace of former President Nelson MandelThe TNPA has allocated over R7 billion to improve our port The President viewed the refurbished and reconstructed slipway and lead-in jetties within the Port of Port Elizabeth that will be able to accommodate 12 more vessels as compared to the current tw Cabinet thanks all taxpayers who have partnered with government in the 2015/16 financial year to take our revenue collection to R1 trillion for the first tim This is a clear demonstration of the strength of our thriving economy even under difficult circumstanceIt is through the tax contributions of compliant South Africans and the effective collection by the South African Revenue Service that government is better able to provide much-needed services that contribute to improving the lives of South African Cabinet welcomes President Zuma s announcement of 3 August 2016 as the date for the 2016 Local Government Election Government is pleased that the two registration weekends on 5",0.88361835
[0.7995231  0.82797503 0.33584127 ... 1.0054832  0.81119174 0.4225305 ],[0.01045366 0.02421555 0.00315485 ... 0.04488934 0.0198647  0.04282626],"Khabinete yi khensa vahakeli va xibalo lava endleke xinakulobye na mfumo eka lembe ximali ra 2015/16 ku fikelela nkwama wa hina eka thiriliyoni yin we ya tirhandi ro sungul Leswi i xikombiso lexi nga rivaleni xa ku tiya ka ikhonomi ya hina leyi hanyaka enkarhini wo tika swinen I ku hoxa xandla hi vahakeri va xibalo va maAfrika-Dzonga lava landzelelaka milawu ni ntirho lowu humelelaka wa Vukorhokerhi bya Vutleketli bya Xibalo bya Afrika-Dzonga, leswi endlaka leswaku mfumo wu kota ku phamela vukorhokerhi lebyi lavekaka, leswi tisaka xiave xo antswisa vutomi bya maAfrika-Dzong","The proposed Bill aligns with the Model Law on International Commercial Arbitration, which has been adopted by the UN Commission on International Trade La The publication of the draft National Research Foundation Amendment Bill of 2016 in the Government Gazette for public commen The Bill amends the National Research Foundation Act, 1998 (Act 23 of 1998).The Bill will improve South Africa s competitiveness in research development and innovation through effective, adequate and coordinated management of public engagement with science, and improved research infrastructure provision and acces It will also improve the responsiveness and effectiveness of research development and innovation provision, to improve the quality of life of South Africans through better alignment with government priorities Key Cabinet decisions Cabinet adopted the White Paper on Policin The draft White Paper was first published for public comment in March 2015.",0.7831587
"[ 1.4653014  -0.15250942 -0.19733532 ...  0.5656094   0.8938405
  2.0832438 ]",[0.02034948 0.00208195 0.00363878 ... 0.03647057 0.02300364 0.06617752],Khabinete yi amukela xitiviso xa Phuresidente Zuma xo veka 3 Mhawuri 2016 tanihi siku ra Nhlawulo wa Mfumo wa Muganga wa 2016.,roll so that you can be able to vot Cabinet calls on citizens to exercise our hard won democratic right to vote in the 2016 Local Government Elections on 3 August 2014.,0.69774663
[0.52483875 0.03155294 0.12347673 ... 0.6468925  0.6116824  1.3963058 ],"[ 0.01256022  0.01139762 -0.00014548 ...  0.03320374  0.04094606
  0.02811127]","Mfumo wu tsakisiwa hileswaku mahelo ya vhiki yambirhi ku suka 5-6 Nyenyankulu na 9-10 Dzivamusoko yo titsarisela ku vhota ya vonile tinhlayo tikulu ta vavhoti lava fikelelaka, va endzerile switichi swo vhotela kona, ngopfungopfu vanhu lava nga ta vhota ro sungula na vantshw Khabinete yi khensa hinkwavo lava landzeleleke xikombelo xo titsarila nhlawulo ni ku hlometela vuxokoxoko bya vona eka papila ro titsarisela eka ron Hiloko hinkwerhu ka hina hi tinghenisa eka timhaka leti leswi endlaka leswaku xidimokirasi xa hina xi ya emahlweni hi matimb Khabinete yi khutaza vaakatiko hinkwavo lavo ka va nga se titsarisela kumbe ku hlometela vuxokoxoko bya vona ku endzela tihofisi ta Khomixini ya Nhlawulo yo Tiyimela hi Yoxe eka timasipala ta miganga ya vona leswaku va ya ngetelela vuxokoxoko bya vona eka papila ro titsarisela eka rona (va nyika tindhawu leti va tshamaka eka tona) ni ku titsarisela ku vhota eka nhlawulo wa 3 Mhawur Vavhoti va nga tlhela va SMSela tinomboro ta vona ta pasi eka 32810 kumbe va fonela sethara ya vuhlanganisi eka 0800 11 8000 ku tiyisisa xiyimo xa vonNtsariso wu tiyisisa vito ra wena eka papila ro titsarisela eka rona leswaku u ta kota ku vhot Khabinete yi kombela vaakatiko ku landzelela mfanelo ya xidimokirasi xa hina lexi ku fikeleriwa ka xona swi tikeke swinene hi ku vhota eka Nhlawulo wa Mfumo wa Miganga wa 2016 wa 3 Mhawuri 2016.","Local Government is everyone s business .Cabinet calls on all South Africans and sectors to demonstrate their patriotism by participating in the various events commemorating Freedom Mont During the upcoming weeks, Parliament will be holding departmental Budget Vote The respective departmental Executives will unpack their operational plans for the 2016/17 financial yea Members of the public will be informed about service-delivery programmes of government Cabinet s position on key issues in the environment Cabinet welcomed the response and subsequent apology by President Zuma to the Constitutional Court judgment relating to compliance with remedial actions set out in a report of the Public ProtectoCabinet is studying the judgment to establish if there are any other actions to be undertaken to strengthen the role of the Public ServicThe Constitutional Court judgment reinforces and asserts South Africa s constitutional democrac Cabinet noted the actions by the four banks that gave notice to close the bank account of a compan Whilst Cabinet appreciate the terms and conditions of the banks, the acts may deter future potential investors who may want to do business in South Afric Cabinet has endorsed that the Ministers of Finance, Labour and Mineral Resources should open a constructive engagement with the banks to find a lasting solution to this matte Cabinet congratulated the Minister of Health, Dr Aaron Motsoaledi, who received the USAID-TB international award in recognition of his leadership in the global fight against tuberculosis (TB) as well as championing South Africa's and regional initiatives in the screening, treatment and prevention of TB; TB/HIV co-infection and multi-drug resistant T Cabinet welcomes the nomination of South Africa as the 2016 recipient of the Distinguished Diplomatic Service Award by the World Affairs Council in Washington, D As the first African country to receive this award, it recognises the country s outstanding commitment to global education, international affairs and global communications to advance our national interestCabinet commends the Minister of International Relations and Cooperation, Ms Maite Nkoana-Mashabane, for her contribution to South Africa s international engagements, which are driven by the vision of a",0.82848775
[ 1.080254   0.1354119 -0.2563122 ...  1.2837788  1.4100107  1.0884007],"[ 0.02127147  0.00024648 -0.00030426 ...  0.02728125  0.0380149
  0.03027157]",Khabinete yi amukela ku simekiwa ka ximfumo ka Phurojeke yo Ringeta ya eChannel ya Ndzawulo ya Timhaka ta Matiko Xikaya (DHA) hi Phuresidente Zum Matirhelo lamantshwa ya pfumelela vaakatiko ku endla xikombelo xa makhadi ya tiID yo Tlhariha emoyeni kutani munhu a papalata mintila leyo leh Xinakulobye lexi na tibanginkulu ta mune,Cabinet welcomes the official launch of the eChannel Pilot Project of the Department of Home Affairs (DHA) by President Zum This new innovative system allows citizens to apply for their Smart ID cards online and avoid long queueThis collaboration with four major banks,0.8791873
"[ 0.8397194   0.6239137  -0.24934606 ...  0.96273834  0.9324792
  0.57053006]","[ 0.01087424 -0.00217763 -0.00075722 ...  0.02958371  0.02553096
  0.03707046]","ABSA, FNB, Nedbank na Bangi ya Standard","ABSA, FNB, Nedbank and Standard Bank",0.9166526
"[ 1.0765045   0.3987498  -0.16118845 ...  0.7471434   0.7398968
  0.9124506 ]","[ 1.0287998e-02 -9.1702066e-05  5.7144593e-03 ...  3.0915802e-02
  2.1619244e-02  3.6830764e-02]","ku tumbuluxa ndlela yo endla xikombelo xa le moyeni xa makhadi ya tiID yo tlhariha na tiphasiphoto swi ta endla leswaku tikhasimende ti endzela tindhawu ta nkarhinyana ta DHA ku yisa minkandziyiso ya tintiho na swifaniso endzhaku ka ku endla tihakelo emoyeneChannel i xiphemu xa pulani yo hluvukisa ya ndzawulo yo angarhela yo susa vukorhokerhi ku suka eka phepha ku ya eka dijitali, ndlela leyi nga ta katsa ku basisa rhijisitara ra ntsariso wa vanh Khabinete yi amukela ku humelela ka Vhiki ra Nkongomelo wa Imbizo ehansi ka nhlokomhaka","to introduce an online application platform for Smart ID cards and passports will enable customers to visit DHA kiosks to submit their fingerprints and pictures after having made appointments and payments onlineChannel is part of the department s overall modernisation strategy to move services from paper to digital, a process which will include the cleaning of the population registe Cabinet welcomes the success of the recently held Imbizo Focus Week under the theme",0.8899771
"[ 0.468567   -0.24952513 -0.06707907 ...  0.916382    1.1669223
  1.2732607 ]","[ 0.01751917 -0.00057418  0.00116294 ...  0.03423402  0.01313794
  0.02410992]","Swin we hi yisa Afrika-Dzonga emahlweni , leri nga endla leswaku vaofisiri va mfumo va tihlanganisa na miganga etikweni hinkwar",rol It is through our collective participation that our democracy moves from strength to strengtCabinet urges all citizens who have not yet registered or checked their details to visit offices of the Independent Electoral Commission in their local municipalities and update their details on the voters,0.6832737
"[ 0.4053349   0.39017057 -0.07328524 ...  1.1893204   0.44724402
  1.2474544 ]",[0.0152136  0.00202992 0.00775393 ... 0.01626346 0.02664363 0.02840934],"Khabinete yi hoyozela maAfrika-Dzonga lava tingheniseke eka tiphurogireme ta 36 etikweni hinkwaro, leswi tiyisiseke leswaku mfumo wu hlamula eka swilaveko swa tiko leswi hlawuriwek Vhiki ra Nkongomelo wa Imbizo ri nyikile miganga matimba hi vuxokoxoko bya tiphurogireme ta mfum Ndzawulo ya Vutshamo bya Vanhu yi rhurherile khoniferense leyi humeleleke ya Nhlangano wa Misava (UN) leyi a yi tirha ni matshamelo ya vanhu lawa nga riki enawini, hi ku tshikelela ndlandlamuko lowu yaka emahlweni wa vutshamo bya le madorobeni na swidakan Sweswi ku na biliyoni yin we ya vanhu lava tshamaka eswidakanini emisaveni hinkway Afrika-Dzonga ri akile tindlu to mamiliyoni tanihi xiphemu xo tiyisisa vutomi byo antswa bya hinkwavo ku suka hi 199 MilawumbisiKhabinete yi pasisile mpfapfarhuto wa Milawumbisi leyi landzelaka: Nawumbisi wa Vuhlayisi bya Switirhisiwa swa Nkoka wa 2016 lowu nga kandziyisiwa eka Gazete ya Mfumo leswaku mani na mani a nyika vonele ra yenNawumbisi lowu wu susa Nawu wa Tindhawu ta Nkoka wa Rixaka, 1980 (Nawu 102 wa 1980), naswona wu lava ku lulamisa tindlela to humesela erivaleni ni ku boha switirhisiwa tanihi switirhisiwa swa nkoka hi ndlela leyi nga erivaleni na vutihlamuler Wu ta tlhela wu tiyisisa leswaku switirhisiwa hinkwaswo swa nkoka swa vusirheleri bya rixaka bya tiko swi humeseriwa erivaleni ni ku hlayisiwa hi ku hetisek Nawumbisi lowu wu pfumela ku simekiwa ka tindlela hi minhlangano to hoxa tihlo ni ku fambisa vuhlayiseki bya switirhisiwa swa nkok Wu tlhela wu hlamusela ntirho wa ntlawa lowu nga ta tsundzuxa Holobye wa Maphorisa eku hlawuleni ka yena ka switirhisiwa swa nkok","Together we move South Africa forward , which saw government officials interacting with communities throughout the countrCabinet commends those South Africans who participated in over 36 programmes across the country, which ensured that government responded to identified community need The Imbizo Focus Week has empowered communities with information on government programme The Department of Human Settlements hosted a very successful United Nations (UN) conference dealing with informal settlements, emphasising the phenomenal rate of urbanisation and the growth of slum Now one billion people in the world live in slum South Africa has since 1994 built millions of houses as part of ensuring a better life for all BillsCabinet approved the following draft Bills: Critical Infrastructure Protection Bill of 2016 to be published in the Government Gazette for public commenThe Bill repeals the National Key Points Act, 1980 (Act 102 of 1980), and seeks to align the process of identifying and declaring critical infrastructures in a transparent and accountable manne It will also further ensure that all critical infrastructures for the national security of the country are identified and adequately protecteThe Bill provides for the setting up of an institutional framework to monitor and administer the protection of the critical infrastructure It further defines the functions of the body that will advise the Minister of Police in the declaration of critical infrastructure The Communal Property Associations Amendment Bill of 2016 to be published for public commen The Bill amends the current Communal Property Associations Act, 1996 (Act 28 of 1996).The Bill will strengthen the democratic governance process of the existing Communal Property Associations or existing Trust entities that oversee communal lan The amended Bill provides for the setting up of the Registrar in the Department of Rural Development and Land Reform, and defines the functions of this offic Once this Bill is passed into law, it will strengthen the regulation of governance institutions and enhance State support to theIt will enable communities to acquire, hold and manage properties through effective statutorily established administration entities supported by governmen The introduction of the International Arbitration Bill of 2016 to Parliamen The international arbitration process is an essential tool for doing business across the borders of the countr It will improve access to justice services for companies doing business outside the country and foreign companies in South Afric The Bill repeals the Recognition and Enforcement of Foreign Arbitral Awards Act, 1977 (Act 40 of 1977) and also amends the current Protection of Business Act, 1978 (Act 99 of 1978).",0.87815785
"[ 0.36078286 -0.03059086 -0.14356162 ...  0.87758553  0.736886
  0.9547453 ]","[ 0.02195917 -0.00304275  0.00586652 ...  0.01813409  0.02383304
  0.02522453]",Nawumbisi Lowu Antswisiweke wa Tindlu ta Miganga wa 2016 wu ta kandziyisiwa ku nyika nkarhi eka mani na mani ku nyika mavonele ya yen,"10 April saw large numbers of potential voters visiting the voting stations, especially first-time voters and the youtCabinet thanks all those who responded to the call to register and check their details on the voters",0.66204256
